#Entity         SMACT        SMOCC        TENSO        DRAMA        
ID                                                                  
GPU 0           0.000        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        
GPU 0           0.000        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        
GPU 0           0.341        0.189        0.000        0.028        
GPU 1           0.000        0.000        0.000        0.000        
GPU 0           0.978        0.542        0.000        0.326        
GPU 1           0.006        0.000        0.000        0.000        
GPU 0           0.978        0.542        0.000        0.334        
GPU 1           0.006        0.000        0.000        0.000        
GPU 0           0.978        0.542        0.000        0.334        
GPU 1           0.006        0.000        0.000        0.000        
GPU 0           0.978        0.542        0.000        0.334        
GPU 1           0.006        0.000        0.000        0.000        
GPU 0           0.979        0.542        0.000        0.334        
GPU 1           0.006        0.000        0.000        0.000        
GPU 0           0.978        0.542        0.000        0.334        
GPU 1           0.006        0.000        0.000        0.000        
GPU 0           0.979        0.542        0.000        0.334        
GPU 1           0.006        0.000        0.000        0.000        
GPU 0           0.978        0.542        0.000        0.334        
GPU 1           0.006        0.000        0.000        0.000        
GPU 0           0.978        0.542        0.000        0.334        
GPU 1           0.006        0.000        0.000        0.000        
GPU 0           0.978        0.542        0.000        0.334        
GPU 1           0.006        0.000        0.000        0.000        
GPU 0           0.013        0.007        0.000        0.003        
GPU 1           0.005        0.000        0.000        0.000        
GPU 0           0.000        0.000        0.000        0.000        
