gpu_id,time_s,1002,1003,1004,1005
0,0.000225,0.0,0.0,0.0,0.0
0,0.180242,0.0,0.0,0.0,0.0
0,1.180612,0.341,0.189,0.0,0.028
0,2.180981,0.978,0.542,0.0,0.326
0,3.181398,0.978,0.542,0.0,0.334
0,4.181693,0.978,0.542,0.0,0.334
0,5.182139,0.978,0.542,0.0,0.334
0,6.182572,0.979,0.542,0.0,0.334
0,7.182889,0.978,0.542,0.0,0.334
0,8.183320,0.979,0.542,0.0,0.334
0,9.183723,0.978,0.542,0.0,0.334
0,10.184004,0.978,0.542,0.0,0.334
0,11.184456,0.978,0.542,0.0,0.334
0,12.184952,0.013,0.007,0.0,0.003
0,13.185547,0.0,0.0,0.0,0.0
1,0.000249,0.0,0.0,0.0,0.0
1,0.180270,0.0,0.0,0.0,0.0
1,1.180643,0.0,0.0,0.0,0.0
1,2.180997,0.006,0.0,0.0,0.0
1,3.181414,0.006,0.0,0.0,0.0
1,4.181712,0.006,0.0,0.0,0.0
1,5.182158,0.006,0.0,0.0,0.0
1,6.219848,0.006,0.0,0.0,0.0
1,7.182903,0.006,0.0,0.0,0.0
1,8.183332,0.006,0.0,0.0,0.0
1,9.183745,0.006,0.0,0.0,0.0
1,10.184020,0.006,0.0,0.0,0.0
1,11.221633,0.006,0.0,0.0,0.0
1,12.185023,0.005,0.0,0.0,0.0
