#Entity         SMACT        SMOCC        
ID                                        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
#Entity         SMACT        SMOCC        
ID                                        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.061        0.022        
GPU 1           0.000        0.000        
GPU 0           0.261        0.095        
GPU 1           0.215        0.053        
GPU 0           0.214        0.078        
GPU 1           0.239        0.060        
#Entity         SMACT        SMOCC        
ID                                        
GPU 0           0.244        0.088        
GPU 1           0.291        0.072        
GPU 0           0.261        0.095        
GPU 1           0.289        0.072        
GPU 0           0.256        0.093        
GPU 1           0.247        0.062        
GPU 0           0.202        0.073        
GPU 1           0.281        0.070        
GPU 0           0.262        0.095        
GPU 1           0.290        0.072        
GPU 0           0.262        0.095        
GPU 1           0.252        0.063        
GPU 0           0.214        0.078        
GPU 1           0.275        0.068        
GPU 0           0.178        0.065        
GPU 1           0.294        0.073        
GPU 0           0.000        0.000        
GPU 1           0.040        0.010        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
#Entity         SMACT        SMOCC        
ID                                        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
