gpu_id,time_s,sm_active
0,0.000117,0.0
0,0.000137,0.0
0,0.000154,0.0
0,0.000162,0.0
0,0.000171,0.0
0,0.141954,0.0
0,0.342413,0.0
0,0.542819,0.0
0,0.743338,0.0
0,0.943757,0.0
0,1.144153,0.0
0,1.359513,0.0
0,1.559948,0.0
0,1.760521,0.0
0,1.960976,0.421
0,2.161384,0.479
0,2.361960,0.468
0,2.562448,0.525
0,2.762923,0.46
0,2.963493,0.483
0,3.163956,0.516
0,3.364484,0.452
0,3.564953,0.502
0,3.765473,0.5
0,3.965903,0.454
0,4.166459,0.516
0,4.366959,0.487
0,4.567479,0.457
0,4.767966,0.525
0,4.968312,0.469
0,5.168883,0.475
0,5.369467,0.524
0,5.569939,0.46
0,5.770443,0.484
0,5.970893,0.515
0,6.171482,0.455
0,6.371950,0.501
0,6.572476,0.501
0,6.772802,0.444
0,6.973206,0.0
0,7.174123,0.0
0,7.375139,0.0
0,7.575746,0.0
0,7.776442,0.0
0,7.977447,0.0
1,0.000126,0.0
1,0.000146,0.0
1,0.000158,0.0
1,0.000167,0.0
1,0.000175,0.0
1,0.141971,0.0
1,0.342425,0.0
1,0.542827,0.0
1,0.743353,0.0
1,0.943769,0.0
1,1.144168,0.0
1,1.359521,0.0
1,1.559956,0.0
1,1.760546,0.183
1,1.960997,0.486
1,2.161398,0.455
1,2.361982,0.451
1,2.562470,0.468
1,2.762944,0.467
1,2.963514,0.472
1,3.163977,0.457
1,3.364505,0.458
1,3.564973,0.45
1,3.765495,0.469
1,3.965924,0.466
1,4.166479,0.47
1,4.366981,0.459
1,4.567512,0.456
1,4.767988,0.456
1,4.968325,0.469
1,5.168904,0.473
1,5.369491,0.461
1,5.569962,0.46
1,5.770463,0.451
1,5.970913,0.465
1,6.171503,0.469
1,6.371969,0.474
1,6.572495,0.457
1,6.772811,0.281
1,6.973247,0.0
1,7.174139,0.0
1,7.375185,0.0
1,7.575757,0.0
1,7.776461,0.0
