#Entity         SMACT        
ID                           
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
GPU 1           0.183        
GPU 0           0.421        
GPU 1           0.486        
#Entity         SMACT        
ID                           
GPU 0           0.479        
GPU 1           0.455        
GPU 0           0.468        
GPU 1           0.451        
GPU 0           0.525        
GPU 1           0.468        
GPU 0           0.460        
GPU 1           0.467        
GPU 0           0.483        
GPU 1           0.472        
GPU 0           0.516        
GPU 1           0.457        
GPU 0           0.452        
GPU 1           0.458        
GPU 0           0.502        
GPU 1           0.450        
GPU 0           0.500        
GPU 1           0.469        
GPU 0           0.454        
GPU 1           0.466        
GPU 0           0.516        
GPU 1           0.470        
GPU 0           0.487        
GPU 1           0.459        
GPU 0           0.457        
GPU 1           0.456        
GPU 0           0.525        
GPU 1           0.456        
#Entity         SMACT        
ID                           
GPU 0           0.469        
GPU 1           0.469        
GPU 0           0.475        
GPU 1           0.473        
GPU 0           0.524        
GPU 1           0.461        
GPU 0           0.460        
GPU 1           0.460        
GPU 0           0.484        
GPU 1           0.451        
GPU 0           0.515        
GPU 1           0.465        
GPU 0           0.455        
GPU 1           0.469        
GPU 0           0.501        
GPU 1           0.474        
GPU 0           0.501        
GPU 1           0.457        
GPU 0           0.444        
GPU 1           0.281        
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
GPU 1           0.000        
#Entity         SMACT        
ID                           
GPU 0           0.000        
GPU 1           0.000        
GPU 0           0.000        
