#Entity         SMACT        SMOCC        
ID                                        
GPU 0           N/A          N/A          
GPU 1           N/A          N/A          
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
#Entity         SMACT        SMOCC        
ID                                        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.002        0.001        
GPU 1           0.000        0.000        
GPU 0           0.006        0.000        
GPU 1           0.002        0.001        
GPU 0           0.000        0.000        
GPU 1           0.122        0.015        
GPU 0           0.000        0.000        
GPU 1           0.135        0.016        
#Entity         SMACT        SMOCC        
ID                                        
GPU 0           0.000        0.000        
GPU 1           0.140        0.017        
GPU 0           0.000        0.000        
GPU 1           0.135        0.016        
GPU 0           0.000        0.000        
GPU 1           0.140        0.017        
GPU 0           0.000        0.000        
GPU 1           0.080        0.010        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
GPU 0           0.000        0.000        
GPU 1           0.000        0.000        
#Entity         SMACT        SMOCC        
